track_id,length,artists,album,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode,Popularity,minutes,beat_density,Popularity_Rank,melody_complexity,instrumental_acoustic_ratio,favorite
2i2gDpKKWjvnRTOZRhaPh2,187558,4083,5334,4,0.639,0.511,0.723,136.872,0.0,-6.462,0.167,7.0,0.878,0.0532,0,88.0,3.125966666666667,43.785495686667595,115.5,547.488,0.0,0
1kuGVB7EU95pJObxwvfwKS,219724,5551,3067,4,0.511,0.177,0.532,138.005,0.0,-5.745,0.291,5.0,0.35,0.0578,1,96.0,3.6620666666666666,37.68500482423404,9.5,552.02,0.0,0
7DSAEUvxU8FajXtRloy8M0,200600,5140,2580,4,0.706,0.0584,0.691,118.048,6.99e-05,-4.775,0.0232,0.0,0.632,0.0633,1,90.0,3.3433333333333333,35.30847457627119,66.0,472.192,0.0011969178082191782,0
2dHHgzDwk4BJdRwy9uXhTO,221520,5083,3384,4,0.715,0.417,0.62,97.95,0.0,-6.005,0.0822,1.0,0.172,0.0484,0,92.0,3.692,26.530335861321777,37.5,391.8,0.0,0
6dgUya35uo964z7GZXM07g,163648,6397,9627,4,0.74,0.0268,0.697,138.992,0.0,-4.912,0.224,8.0,0.732,0.034,1,90.0,2.7274666666666665,50.960109503324205,66.0,555.968,0.0,0
7KokYm8cMIXCsGVmUvKtqf,204852,7027,5222,4,0.642,0.0734,0.62,90.02,0.0,-7.091,0.483,8.0,0.0969,0.0666,1,89.0,3.4142,26.36635229336301,89.5,360.08,0.0,0
23RoR84KodL5HWvUTneQ1w,231545,5698,20,4,0.671,0.12,0.876,129.998,0.188,-5.681,0.0823,7.0,0.964,0.0352,0,92.0,3.8590833333333334,33.68623809626638,37.5,519.992,1.5666666666666667,0
6gcuJpHu0Ey30D5WR76y98,179164,3454,4271,4,0.787,0.0147,0.573,111.996,1.72e-05,-6.197,0.0926,9.0,0.575,0.0606,1,82.0,2.986066666666667,37.50619544104842,414.5,447.984,0.0011700680272108844,0
6AQbmUe0Qwf5PZnt4HmTXv,131013,5782,1257,4,0.696,0.252,0.809,132.962,0.000128,-8.254,0.248,5.0,0.857,0.05,1,89.0,2.18355,60.89258317876852,89.5,531.848,0.0005079365079365079,0
73RbfOTJIjHzi2pcVHjeHM,189825,2002,9221,4,0.74,0.061,0.758,171.925,1.44e-06,-5.851,0.0967,1.0,0.757,0.0921,0,88.0,3.16375,54.34215725009878,115.5,687.7,2.360655737704918e-05,0
739WUU1tPFLO4x4HJq561K,174253,2371,8054,4,0.783,0.435,0.592,120.018,4.15e-06,-8.332,0.347,11.0,0.726,0.0331,0,79.0,2.9042166666666667,41.3254291174327,697.5,480.072,9.54022988505747e-06,0
6GGtHZgBycCgGBUhZo81xe,209156,4355,7017,4,0.49,0.709,0.352,99.992,0.0856,-11.577,0.114,6.0,0.166,0.0254,0,90.0,3.4859333333333336,28.68442693491939,66.0,399.968,0.12073342736248237,0
0mflMxspEfB0VbI1kyLiAv,182347,5450,7602,4,0.662,0.782,0.488,117.913,0.0,-6.894,0.102,9.0,0.817,0.0682,1,86.0,3.0391166666666667,38.798444723521634,183.0,471.652,0.0,0
59uQI0PADDKeE6UZDTJEe8,163855,5232,109,4,0.517,0.459,0.675,203.853,0.0,-5.382,0.151,6.0,0.518,0.0357,1,88.0,2.730916666666667,74.64636416343718,115.5,815.412,0.0,0
