track_id,Song,Artists,Album,length,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode,Popularity,favorite
1Jj1sgeQ71UoGgetecz7mT,Tour,['Ruger'],RU The World,172394,4,0.686,0.18,0.68,142.017,0.0,-6.462,0.243,11.0,0.788,0.0663,0,67.0,0
5bYTh2T6OCVtwnQmwWBUis,Soro,['Adekunle Gold'],Tequila Ever After,162603,4,0.833,0.238,0.637,109.199,9.31e-05,-8.811,0.108,2.0,0.215,0.0522,1,63.0,0
1NQCinyxiglxekxXVPEhnC,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),"['Uncle Waffles', 'Ice Beats Slide', 'Sbuda Maleather']",SOLACE,326027,4,0.582,0.00758,0.443,111.98,0.5,-11.856,0.0499,2.0,0.26,0.0983,1,68.0,0
4rijFxOY3GvhHopiWwHX71,Apotheke,"['Stonebwoy', 'DJ Maphorisa']",5th Dimension,274000,4,0.832,0.117,0.584,113.016,0.00899,-7.651,0.128,7.0,0.336,0.0691,0,56.0,0
0XSYoJ0MJpMB2tddyRcBEC,Sgudi Snyc,"['De Mthuda', 'Da Muziqal Chef', 'Eemoh']",Sgudi Snyc,331377,4,0.813,0.0113,0.399,112.996,0.0571,-18.875,0.11,0.0,0.681,0.0826,1,66.0,0
46906mYFRf4gRPqvdrhWhX,Dollar For Love (Baby),['Thuto The Human'],Dollar For Love (Baby),413844,4,0.844,0.255,0.543,112.99,0.439,-11.424,0.0287,7.0,0.19,0.0457,0,60.0,0
3PNVG2HOa38upqAvF9bRYx,Feel Right,"['Silent Matic', 'Silent Addy', 'Creep Chromatic', 'Projexx']",Block Party Riddim,129600,4,0.894,0.381,0.679,99.992,0.0,-4.422,0.18,8.0,0.405,0.225,1,41.0,0
1cjBX23hWC5jHmsUXuJ1KP,Top Speed (feat. Giggs & Marksman),"['Projexx', 'Giggs', 'Marksman']",Top Speed (feat. Giggs & Marksman),175961,4,0.907,0.356,0.508,102.022,0.00011,-5.102,0.0997,5.0,0.537,0.116,1,44.0,0
6JphsjYCbdAahwqHHLkR6m,MY OWN,"['BomboCat', 'Walshy Fire', 'Sukuward', 'Tahire']",MY OWN,132000,4,0.807,0.139,0.835,180.139,0.0,-5.247,0.229,2.0,0.688,0.259,1,38.0,0
0ydoqpTVhaDzjDg7WVcg4m,Drift,"['Teejay', 'DJ MAC']",Drift,163190,4,0.887,0.837,0.397,99.983,0.421,-8.261,0.0772,9.0,0.469,0.14,0,66.0,0
4s5F9S2VO5yEcVfxdvMgCO,Dinero,['Kraff Gad'],Dinero,223478,4,0.815,0.501,0.69,95.045,0.0,-5.644,0.0966,1.0,0.535,0.199,0,43.0,0
3MVbaHUhFefg7RKjTXMoa9,Mek Money,"['Ape Drums', 'Silent Addy', 'Projexx']",Mek Money,133681,4,0.655,0.0321,0.476,89.806,1.56e-06,-6.907,0.121,10.0,0.333,0.469,0,42.0,0
1y6bjh1s2Y1FG7CnSZnHqq,Expensive,['Valiant'],Expensive,235128,4,0.532,0.517,0.647,95.018,6.3e-05,-4.454,0.109,4.0,0.371,0.141,0,55.0,0
6jbx3FO8dxv2IdYHb7mUSp,Cups Up,['Malie Donn'],Cups Up,191616,4,0.768,0.507,0.454,101.974,0.0257,-9.573,0.112,4.0,0.135,0.101,0,47.0,0
6spHvhxaEwRy3eQeIuVcmC,C.A.L (Cut All Losses),['Valiant'],C.A.L (Cut All Losses),205361,5,0.572,0.504,0.483,129.331,0.0195,-7.881,0.119,8.0,0.35,0.111,1,48.0,0
6o6d9a7gMZdypfMHFJvscz,Feisty,['Masicka'],Feisty,202945,4,0.826,0.157,0.753,96.951,4.45e-06,-5.432,0.113,5.0,0.532,0.194,1,42.0,0
3pTse5fiJ8jCU4q0SBqFwd,Frsh Drop,['Aidonia'],Frsh Drop,159184,4,0.847,0.306,0.575,98.032,0.0,-6.833,0.23,1.0,0.75,0.173,1,46.0,0
7wX2WbsL4GQJSFC43ml1fR,Bup Bup Bup,['DING DONG'],Bup Bup Bup,146936,4,0.88,0.468,0.413,98.027,0.0,-10.228,0.33,11.0,0.775,0.181,0,47.0,0
29LgaYuH8WDlXUzgSA7MN0,Motorcade,['Valiant'],Motorcade,154738,4,0.594,0.749,0.405,98.335,0.0,-10.38,0.0592,9.0,0.737,0.467,1,45.0,0
4fx5TdJDk421crRtocneTy,Tom Brady Freestyle,['Masicka'],Tom Brady Freestyle,230204,5,0.639,0.353,0.791,127.782,1.26e-06,-5.349,0.086,2.0,0.211,0.354,1,40.0,0
7IZFzhwYUxUVhCsrnEReqi,Tyrant,['Masicka'],Tyrant,217959,5,0.741,0.521,0.783,66.703,1.05e-06,-4.299,0.106,9.0,0.353,0.284,0,56.0,0
2wOVdHz2duM1BrRspxS996,North Carolina,['Valiant'],North Carolina,160287,5,0.407,0.187,0.559,65.647,0.0,-6.805,0.347,6.0,0.225,0.358,0,56.0,0
36wSKtr3EipWUKxe58EYqN,St. Mary,['Valiant'],St. Mary,134557,4,0.566,0.101,0.704,195.723,4.68e-05,-5.838,0.237,5.0,0.368,0.219,0,51.0,0
7Ed8a6HvAVEORI6lDo3IqK,Let Him Guh,"['DING DONG', 'Bravo Ravers']",Let Him Guh,125099,5,0.691,0.0187,0.635,139.883,3.35e-06,-7.247,0.37,2.0,0.207,0.332,1,39.0,0
744IMVuf8wEVECCOLThDHJ,BOUNCE,"['DING DONG', 'Dunw3ll']",BOUNCE,153652,4,0.62,0.25,0.825,199.488,0.0,-2.869,0.077,7.0,0.476,0.309,1,50.0,0
