track_id,album,artists,length,danceability,tempo,energy,acousticness,time_signature,favorite
41cv1emXVm5Su4DWvltXa6,7447,1577,183680,0.659,112.931,0.823,0.0174,4,0
6vsa5VDsIaWC8oJnowU65l,8568,2143,191627,0.696,104.989,0.555,0.0603,4,0
1UlwFwRrb4Kth3TwnjBAJV,1820,2249,183907,0.591,139.991,0.756,0.234,3,0
5ya0TmUQw2wHMkq36rPsnd,5547,5345,189987,0.461,95.964,0.887,0.000219,4,0
3vKAQFXRh0lkJdPuS5pclq,4065,234,259876,0.684,110.476,0.686,0.171,4,0
5wtPc1OQ7g1H8FBkwWqbhh,1182,2131,194267,0.623,109.97,0.874,0.00714,4,0
0GdZqKPBrvkpo7mk2OyHtf,748,7586,201485,0.659,126.998,0.865,0.0164,4,0
2gT2iF1YK5r54A2PDEXVv8,6335,7725,218160,0.518,111.865,0.557,0.0258,3,0
4bARASJEokNacSYtEhoNBp,1398,5650,216673,0.484,80.995,0.753,0.11,4,0
103u49mLoJUge83B1CnLxI,9721,3145,167535,0.662,132.057,0.77,0.0875,4,0
72kGuWpRiuA149Bn5lDkIO,6276,1106,188483,0.62,81.989,0.706,0.0755,4,0
6KaKmX6EIu3x2057HoZwQF,9137,4344,208853,0.739,139.921,0.413,0.47,4,0
2hNQDbZcN3vqRAuwiz7poI,1193,3872,172853,0.661,105.917,0.707,0.628,4,0
1pmBuw9a3r467tlzVZj0P4,1070,5168,179229,0.604,104.942,0.881,0.0272,4,0
60bbiP93CSxmLibuwvxay9,2205,1963,197803,0.67,146.987,0.559,0.38,4,0
3eNOyXmzuA46bUvi8FkIoW,5098,7360,187269,0.559,89.985,0.704,0.0177,4,0
1cAupeTLZyhhtfmRc4qaYy,4954,1359,173636,0.564,132.113,0.823,0.214,4,0
2dPwBKr5uJeCeyd5IoWi8W,9159,1269,220146,0.619,129.944,0.564,0.673,4,0
1WFgLLJKxJMRHQk9qnwxaZ,2969,3830,186293,0.641,96.982,0.749,0.0453,3,0
6UoKX6uLJwhsnyTp5k5StP,8354,1525,211413,0.512,97.981,0.709,0.0415,4,0
3XCsnZP8tL6fAbYofj9O0M,343,2142,176372,0.592,132.029,0.796,0.0769,4,0
