ID,Song Name,Artists,Album Name,Popularity
5ZoDwIP1ntHwciLjydJ8X2,My Cherie Amour,['Stevie Wonder'],My Cherie Amour,68
0zGLlXbHlrAyBN1x6sY0rb,A Sunday Kind Of Love,['Etta James'],At Last!,73
6cZrsaNb4Zo9E5KHk7gcz5,Who's Lovin' You,['The Jackson 5'],Diana Ross Presents The Jackson 5,63
7znjbX9XdoQayIrVNdd50Z,The Girl From Ipanema,['Stan Getz'],Getz/Gilberto (Expanded Edition),69
4RYwE31p4KflK1h7J7m1Yt,Spooky (Single Version),['Dusty Springfield'],Love Songs,63
3xsOtNxtBW0oTI1OWKAzTm,Walk on By,['Dionne Warwick'],Make Way for Dionne Warwick,67
36AlMHDBFwSsD3FQOy1R81,Try a Little Tenderness,['Otis Redding'],Complete & Unbelievable: The Otis Redding Dictionary of Soul,67
4feXcsElKIVsGwkbnTHAfV,Somethin' Stupid,"['Frank Sinatra', 'Nancy Sinatra']",The World We Knew,76
0KOE1hat4SIer491XKk4Pa,A Change Is Gonna Come,['Sam Cooke'],Ain't That Good News,69
7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,"['Marvin Gaye', 'Tammi Terrell']",United,87
1kPBT8S2wJFNAyBMnGVZgL,I'd Rather Go Blind,['Etta James'],Tell Mama,76
0wJoRiX5K5BxlqZTolB2LD,Purple Haze,['Jimi Hendrix'],Are You Experienced,73
4Y4Gd3ty8uut6Qw43c7yJc,(Sittin' On) the Dock of the Bay,['Otis Redding'],The Dock of the Bay,63
57460SJgSpCXaRJ9YIYHxy,Going Up The Country,['Canned Heat'],The Best Of Canned Heat,63
3spdoTYpuCpmq19tuD0bOe,My Way,['Frank Sinatra'],My Way (Expanded Edition),75
3uCkIqD0VzQUijbs8WIizs,These Days,['Nico'],Chelsea Girl,65
745H5CctFr12Mo7cqa1BMH,My Girl,['The Temptations'],The Temptations Sing Smokey,83
4Hhv2vrOTy89HFRcjU3QOx,At Last,['Etta James'],At Last!,78
1Eolhana7nKHYpcYpdVcT5,Little Wing,['Jimi Hendrix'],Axis: Bold As Love,74
3X9tJw6z5LowFx339fhTvu,I Walk the Line - Stereo Version,['Johnny Cash'],I Walk the Line (Stereo Version),52
4s6LhHAV5SEsOV0lC2tjvJ,California Dreamin' - Single Version,['The Mamas & The Papas'],If You Can Believe Your Eyes & Ears,82
1tqT6DhmsrtQgyCKUwotiw,I Heard It Through The Grapevine,['Marvin Gaye'],In The Groove,76
1Gv8dvKmkHVaB1edYvW0Fr,Puppy Love - Remix,['Paul Anka'],Put Your Head On My Shoulder: The Very Best Of Paul Anka,45
5b7OgznPJJr1vHNYGyvxau,Fly Me To The Moon (In Other Words),"['Frank Sinatra', 'Count Basie']",Sinatra/Basie: The Complete Reprise Studio Recordings,75
6KKcey1w86oP0qxN8frbfD,Green Onions,"[""Booker T. & the M.G.'s""]",Green Onions / Behave Yourself,58
11607FzqoipskTsXrwEHnJ,Sunday Morning,"['The Velvet Underground', 'Nico']",The Velvet Underground & Nico 45th Anniversary,67
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,['Van Morrison'],Blowin' Your Mind!,83
0Wd52AHQrrwwDbqVQF2dt6,Everybody Loves Somebody,['Dean Martin'],The Essential Dean Martin,47
2AxCeJ6PSsBYiTckM0HLY7,Voodoo Child (Slight Return),['Jimi Hendrix'],Electric Ladyland,69
4kP69y3GKHi9tXckfgp4bK,For Once In My Life,['Stevie Wonder'],For Once In My Life,76
74VR3AkGPhbYXnxcOYa16x,Strangers In The Night,['Frank Sinatra'],Strangers In The Night (Expanded Edition),73
0WVTQp3SOCuMr08jh1jweV,Bring It On Home to Me,['Sam Cooke'],The Man Who Invented Soul,67
0P7DoyGrr4Wp9w5TotEtUC,The Weight - Remastered 2000,['The Band'],Music From Big Pink (Remastered),73
2HoqbEOXgbDSLZ5XCePEXt,Hit the Road Jack,['Ray Charles'],Soul,72
2fDHuS1PTkHBbCWWZF1ph9,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",['Johnny Cash'],At Folsom Prison,70
2KQM3kDM0zMBC9iynePBbS,Stand By Me,['Ben E. King'],Stand By Me,57
3ZpTyU4mF3PR9jLpFA3AAC,Ain't That A Kick In The Head,"['Dean Martin', 'Nelson Riddle']",The Capitol Years,60
7xdLNxZCtY68x5MAOBEmBq,All Along the Watchtower,['Jimi Hendrix'],Experience Hendrix: The Best Of Jimi Hendrix,56
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,['The Rolling Stones'],Let It Bleed,78
1WN4uNclrDuczTO3bCr8s1,Be My Baby,['The Ronettes'],Presenting the Fabulous Ronettes Featuring Veronica,73
672N8DGGTOLCOgWe0koX5g,I Wanna Be Your Dog,['The Stooges'],The Stooges,61
0bfvHnWWOeU1U5XeKyVLbW,Can't Take My Eyes off You,['Frankie Valli'],Solo,77
0NWPxcsf5vdjdiFUI8NgkP,Hey Joe,['Jimi Hendrix'],Are You Experienced,72
6YffUZJ2R06kyxyK6onezL,Ring of Fire,['Johnny Cash'],Ring Of Fire: The Best Of Johnny Cash,73
3MODES4TNtygekLl146Dxd,Ramble On - 1990 Remaster,['Led Zeppelin'],Led Zeppelin II (1994 Remaster),72
11VwZwNF29HrqwalYUMitb,Pale Blue Eyes,['The Velvet Underground'],The Velvet Underground (45th Anniversary),66
78JmElAFmrPNhLjovDR9Jm,All Day and All of the Night,['The Kinks'],Kinks (Deluxe),71
4CoGNqLap7UGU5Q3VdKug0,Ain't Too Proud To Beg,['The Temptations'],Gettin' Ready (Expanded Edition),68
6FRwDxXsvSasw0y2eDArsz,Sunshine Of Your Love,['Cream'],Disraeli Gears,65
3SMQvRU807fzOwZGagys3n,Son of a Preacher Man,['Dusty Springfield'],Hit Soul,41
47IRIQxGDe2Sc6F4pe2FMf,Shop Around,['The Miracles'],Hi We're The Miracles,45
2DpJ9T2RVRanZcYFHKOAfA,Put Your Head On My Shoulder,['Paul Anka'],Put Your Head On My Shoulder: The Very Best Of Paul Anka,70
6PgVDY8GTkxF3GmhVGPzoB,"Hold On, I'm Comin'",['Sam & Dave'],"Hold On, I'm Comin'",73
1UKobFsdqNXQb8OthimCKe,Helplessly Hoping - 2005 Remaster,"['Crosby, Stills & Nash']","Crosby, Stills & Nash",69
47mA6f44zxLtdATOoY7GjN,Georgia on My Mind - Original Master Recording,['Ray Charles'],Georgia on My Mind (Original Master Recording),58
5nrmGFJ87crVoJF5xdRqwn,Waterloo Sunset,['The Kinks'],Something Else (Deluxe),65
3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,['Bob Dylan'],Highway 61 Revisited,71
4vju55Ag7apDL2CfotuE7Q,Sunny,['Bobby Hebb'],Sunny,70
0sjxRg1VlYfx4YG7uxurrq,I Put A Spell On You,['Nina Simone'],I Put A Spell On You,70
00pGV4EInVd77cnOIwPTCv,Papa's Got A Brand New Bag,['James Brown'],Star Time,59
6wccwN37R7tRotVrK8Htni,This Magic Moment - Single Version; Remastered,['The Drifters'],Hits and Rarities,53
6V9VCm1zOY2lGR80RehJ9i,Wichita Lineman - Remastered 2001,['Glen Campbell'],Wichita Lineman (Remastered),64
0FD8KMG4pHp0O9clTpChjp,I Say a Little Prayer,['Aretha Franklin'],Respect - The Very Best of,54
1qRA5BS78u3gME0loMl9AA,For What It's Worth,['Buffalo Springfield'],Buffalo Springfield,82
5DTOOkooKFUvWj1XQTFa09,The End of the World,['Skeeter Davis'],The Essential Skeeter Davis,67
2g2GkH3vZHk4lWzBjgQ6nY,(What A) Wonderful World,['Sam Cooke'],The Man Who Invented Soul,69
4K1imZQQ0yKtJ40vGmUajS,Girl from the North Country,"['Bob Dylan', 'Johnny Cash']",Nashville Skyline,67
6iGU74CwXuT4XVepjc9Emf,God Only Knows - Mono,['The Beach Boys'],Pet Sounds (Original Mono & Stereo Mix),65
3zpj9dvJABiyMrmLCPw6i8,Crazy - Single Version,"['Patsy Cline', 'The Jordanaires']",Showcase,68
4LJcNiq2pBb8OeqrGdBJQw,I'm Sorry,['Brenda Lee'],Brenda Lee,61
0sCeNwt8xRCMR4NhKpMyBe,Cantaloupe Island - Remastered 1999/Rudy Van Gelder Edition,['Herbie Hancock'],Empyrean Isles (Expanded Edition),63
