track_id,duration_ms,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode
3MbOT5mzE94Ne0Hv51akoS,4,0.831,0.199,0.439,105.104,0.00153,-7.892,0.133,175671,5,0.353,0.323,0
4hGmQboiou09EwhcTWa0H6,4,0.67,0.252,0.562,97.919,0.0,-7.653,0.242,230311,5,0.18,0.233,0
2z2gqgwu1GCurpZJYzcytE,4,0.741,0.0761,0.509,152.078,2.9e-06,-12.639,0.114,202224,10,0.345,0.0532,1
5IN2qvFpISNge4Bed3fJz4,4,0.768,0.51,0.881,144.979,0.0,-2.995,0.127,119172,10,0.526,0.305,0
1BmI4EYdfzbg8DlV6pHYrY,4,0.908,0.00933,0.561,146.018,0.0,-7.683,0.111,217213,4,0.559,0.301,0
1llzRvV9QpuNHjPu0rVQSp,4,0.852,0.00209,0.735,90.505,0.0,-3.6,0.103,172376,5,0.572,0.161,1
4hrd3G5XnJzDC5LZw0Fwgu,4,0.707,0.00654,0.645,150.014,2.38e-06,-5.395,0.344,176133,6,0.524,0.321,0
4daEMLSZCgZ2Mt7gNm2SRa,4,0.64,0.492,0.609,131.889,2.47e-06,-7.714,0.152,192727,1,0.393,0.304,0
0B1xarnfKvUFWUoFdQnooq,4,0.745,0.455,0.877,120.015,0.0,-2.649,0.0732,189012,5,0.852,0.173,0
3V0A5gVJFGy4Hmo3MJ59uD,4,0.853,0.0105,0.574,142.982,2.4e-06,-6.082,0.102,134715,0,0.526,0.197,1
39fKVWP7D9qAmkM8qjRQoC,4,0.621,0.472,0.462,89.23,0.0,-6.268,0.153,259547,11,0.267,0.428,1
11B7WTuoInwUvuP1BnnGWW,4,0.684,0.0171,0.63,149.947,0.000927,-6.143,0.194,218264,10,0.177,0.0589,0
0pRqj4CrVCHOjDngEXZxcz,4,0.569,0.696,0.811,144.642,0.0,-4.562,0.156,248661,5,0.69,0.336,1
2neydrTb5GVPRHNNmW0iPP,4,0.467,0.0419,0.908,160.036,0.0,-4.164,0.277,195488,11,0.459,0.0511,0
0bILU0UiNDmA5Ff6whhb2R,4,0.57,0.426,0.67,140.924,0.0,-6.519,0.108,178723,1,0.593,0.0274,1
2ePiBvKtQOCBHq9uOlwiiU,4,0.573,0.129,0.795,128.101,1.78e-05,-5.561,0.186,181067,10,0.705,0.0558,1
41cv1emXVm5Su4DWvltXa6,4,0.659,0.0174,0.823,112.931,1.82e-06,-5.77,0.11,183680,4,0.405,0.0415,0
6vsa5VDsIaWC8oJnowU65l,4,0.696,0.0603,0.555,104.989,0.0,-7.035,0.175,191627,11,0.577,0.0353,1
59uQI0PADDKeE6UZDTJEe8,4,0.517,0.459,0.675,203.853,0.0,-5.382,0.151,163855,6,0.518,0.0357,1
1UlwFwRrb4Kth3TwnjBAJV,3,0.591,0.234,0.756,139.991,1.44e-06,-4.573,0.097,183907,8,0.46,0.0403,1
5ya0TmUQw2wHMkq36rPsnd,4,0.461,0.000219,0.887,95.964,0.0,-4.871,0.104,189987,11,0.411,0.0429,0
3vKAQFXRh0lkJdPuS5pclq,4,0.684,0.171,0.686,110.476,0.0,-4.833,0.173,259876,4,0.501,0.0287,1
5wtPc1OQ7g1H8FBkwWqbhh,4,0.623,0.00714,0.874,109.97,0.0,-3.058,0.143,194267,10,0.961,0.0329,1
0GdZqKPBrvkpo7mk2OyHtf,4,0.659,0.0164,0.865,126.998,0.0,-4.416,0.134,201485,7,0.761,0.0541,1
2gT2iF1YK5r54A2PDEXVv8,3,0.518,0.0258,0.557,111.865,2.46e-06,-4.839,0.156,218160,1,0.216,0.0332,1
4KULAymBBJcPRpk1yO4dOG,4,0.429,0.554,0.453,77.639,2e-06,-7.746,0.102,227196,0,0.155,0.0459,1
4bARASJEokNacSYtEhoNBp,4,0.484,0.11,0.753,80.995,5.95e-06,-5.23,0.193,216673,2,0.281,0.0503,1
103u49mLoJUge83B1CnLxI,4,0.662,0.0875,0.77,132.057,0.0,-4.887,0.35,167535,0,0.769,0.0367,1
72kGuWpRiuA149Bn5lDkIO,4,0.62,0.0755,0.706,81.989,7.78e-06,-4.176,0.185,188483,3,0.591,0.0251,1
6KaKmX6EIu3x2057HoZwQF,4,0.739,0.47,0.413,139.921,2.51e-05,-6.709,0.131,208853,1,0.649,0.0282,1
2hNQDbZcN3vqRAuwiz7poI,4,0.661,0.628,0.707,105.917,1.85e-06,-7.19,0.0852,172853,7,0.385,0.0285,1
1pmBuw9a3r467tlzVZj0P4,4,0.604,0.0272,0.881,104.942,0.0,-4.036,0.263,179229,11,0.74,0.0544,1
60bbiP93CSxmLibuwvxay9,4,0.67,0.38,0.559,146.987,1.28e-06,-5.768,0.0939,197803,2,0.567,0.0595,1
3eNOyXmzuA46bUvi8FkIoW,4,0.559,0.0177,0.704,89.985,0.0,-7.686,0.0821,187269,2,0.422,0.0338,1
1cAupeTLZyhhtfmRc4qaYy,4,0.564,0.214,0.823,132.113,0.0,-5.319,0.432,173636,10,0.472,0.0297,0
2dPwBKr5uJeCeyd5IoWi8W,4,0.619,0.673,0.564,129.944,0.0,-6.517,0.184,220146,4,0.419,0.0302,1
1WFgLLJKxJMRHQk9qnwxaZ,3,0.641,0.0453,0.749,96.982,0.0,-4.947,0.0703,186293,6,0.894,0.0256,1
6UoKX6uLJwhsnyTp5k5StP,4,0.512,0.0415,0.709,97.981,4.25e-06,-5.766,0.107,211413,2,0.261,0.0329,1
3XCsnZP8tL6fAbYofj9O0M,4,0.592,0.0769,0.796,132.029,0.0,-5.59,0.103,176372,6,0.512,0.0284,1
1xdsRkWxWWUkKhh9hRtfYp,4,0.563,0.0134,0.755,92.988,0.0,-4.504,0.399,177400,5,0.811,0.0253,1
7MSWxMumjz6lHj7oRApNbg,4,0.353,0.0016,0.77,145.225,0.598,-11.066,0.109,267893,1,0.224,0.0493,0
1fOvzFCRA3Ko0ihc2QTE29,4,0.617,0.22,0.369,73.008,0.000365,-8.078,0.11,184107,3,0.257,0.0285,1
7qaMlLPdwNiiU1Uiy1oAdO,4,0.647,0.00686,0.776,103.919,0.0,-5.221,0.119,162733,7,0.268,0.0514,1
1Lo0QY9cvc8sUB2vnIOxDT,4,0.712,0.186,0.603,97.994,0.0,-5.52,0.115,265493,8,0.67,0.0262,1
7hZTywPKMdVjJzwdWu11BK,3,0.444,0.00544,0.629,134.931,0.0,-4.435,0.271,200347,9,0.376,0.0318,1
4Bee3PcNdfeqO1B80dDgFn,3,0.564,0.382,0.612,83.03,0.0,-5.018,0.11,237493,0,0.146,0.0248,1
0ayd4fDb6rMZl9uqCY3Hzl,4,0.509,0.25,0.793,165.964,0.0,-3.229,0.236,227892,1,0.767,0.0376,1
4QzoBae05AxedOwsC8cqlh,4,0.567,0.428,0.524,77.076,0.0,-5.537,0.0963,190540,0,0.129,0.0296,1
4l5w5qGInIhwfvpYmPIYdK,4,0.457,8.66e-05,0.725,141.936,0.000126,-5.979,0.13,174992,1,0.318,0.0318,1
5SIb4S2seQAeCHPXxiNHBL,4,0.546,0.222,0.509,169.875,8.02e-06,-6.683,0.104,183542,7,0.525,0.0297,1
7Ez0QMtgIQ60BOHGHh3yPc,4,0.649,0.0518,0.844,120.972,0.0,-4.352,0.106,157800,8,0.542,0.0335,1
3vsdSgCvepm6kroIPLa4Oz,4,0.46,0.226,0.571,138.629,0.0,-5.85,0.273,200133,4,0.528,0.0354,1
2eGvz6O6tVnh9nKiitDEhZ,4,0.529,0.00281,0.866,116.004,0.00526,-5.816,0.0287,163600,3,0.55,0.0452,0
2otAb5kIGdZzJCqcUHNztT,4,0.667,0.413,0.671,83.962,0.0,-4.2,0.0809,171080,1,0.695,0.0496,0
4dtIxANFBU6CfhI9c2hf2g,4,0.522,0.753,0.223,97.045,0.0,-9.561,0.165,194440,1,0.439,0.0345,0
43SoxERu5UlXAgt4Es1VQU,4,0.647,0.0585,0.477,142.034,0.0,-8.264,0.159,184949,6,0.477,0.0356,1
6DYtfjCJdFOXUlV3E9a9bI,4,0.591,0.0703,0.46,147.984,8.53e-06,-9.219,0.0833,270933,4,0.187,0.0313,1
5rCt377EMkCJ0D0sldd5t8,4,0.499,0.706,0.447,75.068,0.0,-5.083,0.0868,183080,5,0.53,0.0367,1
3jhV8I9sIPXsjPs2ZOnSaf,4,0.404,0.00518,0.788,208.138,1.71e-06,-4.355,0.17,176427,2,0.608,0.0535,1
1squCbXxHkHAO0VYRjTl2S,4,0.515,0.0957,0.661,155.928,0.0,-6.776,0.0985,183107,1,0.376,0.0366,1
6Ahy5fItdBfXRVWYOLo7pM,4,0.513,0.00056,0.788,104.022,1.85e-05,-4.613,0.174,225360,10,0.625,0.029,0
1olWQ1LOUYs4VBwx5N8Lz9,4,0.534,0.844,0.409,127.357,0.000656,-9.559,0.115,225827,7,0.243,0.0378,1
3fonAuTvuI5KMcmnueLAPq,3,0.427,0.47,0.278,85.633,2.22e-05,-8.83,0.135,199875,10,0.374,0.0331,1
6UtWwuheJr5LLDeVypPNx7,3,0.742,0.172,0.873,128.053,0.0,-5.913,0.0857,187077,0,0.796,0.0519,0
7iQXYTyuG13aoeHxGG28Nh,4,0.911,0.0887,0.778,96.057,2.16e-05,-2.248,0.179,162768,5,0.345,0.262,1
3XB5uhhlYSnkxpSihkNQwh,4,0.842,0.525,0.756,169.925,2.21e-06,-7.409,0.0871,172798,7,0.421,0.338,0
7ABLbnD53cQK00mhcaOUVG,4,0.708,0.0739,0.737,91.986,0.00162,-4.045,0.0955,197920,1,0.607,0.0436,1
6fNCrsrdIcgVd2aZZ0nnz4,3,0.909,0.434,0.762,101.987,0.0,-3.974,0.0856,142335,9,0.843,0.0643,1
4MjDJD8cW7iVeWInc2Bdyj,4,0.787,0.15,0.621,139.056,0.000402,-5.009,0.58,267194,4,0.13,0.068,0
2HafqoJbgXdtjwCOvNEF14,4,0.537,0.827,0.421,98.224,0.0,-8.72,0.138,184061,5,0.524,0.0285,1
7mXuWTczZNxG5EDcjFEuJR,3,0.646,0.216,0.736,140.098,0.0,-7.118,0.415,212878,5,0.873,0.0449,0
6XbtvPmIpyCbjuT0e8cQtp,4,0.668,0.369,0.712,100.02,2.13e-05,-5.927,0.108,186000,5,0.264,0.0381,1
3nNmRE0DxHC6ZaKkrpUumS,4,0.847,0.0869,0.724,94.601,1.11e-06,-5.41,0.118,216328,1,0.396,0.298,1
2QM5gBm9Q8VZ7UamMIMLb1,4,0.795,0.527,0.553,124.109,2.84e-06,-8.496,0.112,192288,4,0.739,0.244,0
3cDyocF0Ibdfs1SFQk5cLZ,4,0.822,0.179,0.711,102.984,1.46e-05,-4.943,0.083,199947,6,0.934,0.0668,1
6irysuQyZWd7Bjj7ePiOs2,4,0.831,0.277,0.759,107.961,0.0,-3.627,0.125,231693,1,0.244,0.0502,0
6uIIdjYTxxpWOyWuVXrKQO,3,0.808,0.183,0.944,124.934,1.11e-06,-4.863,0.138,191467,10,0.937,0.0408,0
6XSqqQIy7Lm7SnwxS4NrGx,4,0.859,0.145,0.658,100.065,0.0,-4.79,0.12,195987,11,0.672,0.159,1
15U5RHzuLMPNFThQqfKL0U,4,0.564,0.119,0.874,121.001,3.9e-05,-1.353,0.24,265999,1,0.809,0.105,0
7mLPSkAJraASgNk6ywyTkp,4,0.634,0.0754,0.725,159.898,0.0,-4.88,0.208,154375,0,0.845,0.0577,0
4sDpxaulErbJ9NBaJDC7cJ,4,0.625,0.247,0.755,87.948,0.0,-4.643,0.124,192955,8,0.429,0.0724,1
4mGrWfDISjNjgeQnH1B8IE,3,0.544,0.607,0.396,157.939,6.17e-05,-7.804,0.0969,186456,10,0.502,0.0637,1
